"","V1","V2","V3","V4"
"1",NA,NA,NA,NA
"2",NA,NA,NA,NA
"3",NA,NA,NA,NA
"4",NA,NA,NA,NA
"5",NA,NA,NA,NA
"6",NA,NA,NA,NA
"7",NA,NA,NA,NA
"8",NA,NA,NA,NA
"9",NA,NA,NA,NA
"10",317.299336247556,0.458495609575134,2.60136740592804,-2.63593977101694
"11",316.794465409217,0.290281903813806,2.98902414041075,-0.888054511286654
"12",316.130154280433,0.137745826477998,2.43306655925293,0.673995202528147
"13",315.529531397095,0.0293243178871059,1.31081166416501,1.65047613253009
"14",315.593360419896,0.0339863514738585,0.330249730768584,2.09643328186981
"15",315.889718377765,0.0665626191743023,-0.622124500298744,2.09796399618695
"16",316.188671994599,0.0930062257229278,-1.47746741021684,1.62601517371127
"17",316.15541442164,0.0798542021152056,-2.14675404540308,0.600434966038335
"18",315.980585922122,0.0554594431703621,-2.2644014842369,-0.692672908120528
"19",315.906679326766,0.043914742093067,-1.66931317920333,-1.80181681396391
"20",315.869748666355,0.0370558384437936,-0.580626127092682,-2.43856964339088
"21",316.257446511962,0.0659571148097435,0.878098033535543,-2.21132697009632
"22",316.520616683624,0.0820145916390156,1.95859502151321,-1.36736243948311
"23",316.611286995881,0.0827162392296148,2.38395447455949,-0.200070266949311
"24",316.495455150914,0.0667059725121495,2.07063686527647,0.907324098044768
"25",316.349881181574,0.0497856469179483,1.23890301722165,1.69873962741763
"26",316.536601081856,0.0604855915696212,0.287941059088661,2.17308344522975
"27",316.949554025049,0.0872776175011165,-0.675394335964024,2.24914768517591
"28",317.264869174976,0.104043562014011,-1.60846178806507,1.76077948880473
"29",317.390071440755,0.105544042629402,-2.26429115564274,0.73500215785257
"30",317.247225595121,0.0885415740870363,-2.43314904276961,-0.66612356352217
"31",317.02653580403,0.0680223678484653,-1.90509314803166,-2.00672620435173
"32",316.967655476264,0.0598025961208895,-0.701202442495148,-2.77836279882208
"33",317.187427130404,0.0699964879602368,0.852137339657621,-2.64508609915358
"34",317.431456628572,0.0809809703656985,2.13780166238469,-1.74225410336726
"35",317.481428524313,0.0790343160061491,2.70866640814859,-0.46188114325102
"36",317.383700398837,0.067985576139399,2.49751219459902,0.828432043242444
"37",317.262144343944,0.0562067641025836,1.66364847514704,1.82990096500574
"38",317.263749045932,0.0528432639984061,0.501366857343893,2.37673883905936
"39",317.518731207639,0.0651462032609987,-0.664356845001465,2.45897117316855
"40",317.665132250673,0.0700200592119912,-1.76914114733905,1.85861334679863
"41",317.757803088908,0.07135733927362,-2.45158406597365,0.742320001987196
"42",317.736114231959,0.0659488247831749,-2.53451535231013,-0.654466589261347
"43",317.565919584667,0.05241114601359,-1.96997185522535,-2.01648739479504
"44",317.717381773617,0.0580267390146293,-0.654636024867994,-2.65447616260722
